,SEMANA,NOMBRESERVICIO,CLUSTER,COUNT,percent
328,37,Pagos De Impuestos Referenciados,Pagos,676,3.984856131956742e-05
329,38,Pagos De Impuestos Referenciados,Pagos,205,1.208425306288657e-05
330,35,Pagos de Tarjeta de Crédito American Express,Pagos,101,5.953705167568506e-06
331,36,Pagos de Tarjeta de Crédito American Express,Pagos,130,7.663184869147581e-06
332,37,Pagos de Tarjeta de Crédito American Express,Pagos,156,9.195821842977098e-06
333,38,Pagos de Tarjeta de Crédito American Express,Pagos,33,1.9452700052451552e-06
334,35,Pagos de Tarjeta de Crédito Otros Bancos,Pagos,4344,0.00025606826978136226
335,36,Pagos de Tarjeta de Crédito Otros Bancos,Pagos,4973,0.0002931462950328533
336,37,Pagos de Tarjeta de Crédito Otros Bancos,Pagos,6376,0.00037584974404373064
337,38,Pagos de Tarjeta de Crédito Otros Bancos,Pagos,879,5.181491923062095e-05
338,35,Pagos de Tarjeta de Crédito Terceros Banorte / Ixe,Pagos,1082,6.378127714167448e-05
339,36,Pagos de Tarjeta de Crédito Terceros Banorte / Ixe,Pagos,1191,7.020656291657515e-05
340,37,Pagos de Tarjeta de Crédito Terceros Banorte / Ixe,Pagos,1472,8.677083174911724e-05
341,38,Pagos de Tarjeta de Crédito Terceros Banorte / Ixe,Pagos,203,1.196635791105353e-05
342,35,Pagos de Tarjetas de Crédito Propias Banorte,Pagos,18540,0.001092888057492278
343,36,Pagos de Tarjetas de Crédito Propias Banorte,Pagos,22974,0.0013542616091061271
344,37,Pagos de Tarjetas de Crédito Propias Banorte,Pagos,35153,0.0020721841361934223
345,38,Pagos de Tarjetas de Crédito Propias Banorte,Pagos,5560,0.00032774852209585043
346,35,Compartir(Vía Whatsapp),Pasos,165501,0.009755882761759952
347,36,Compartir(Vía Whatsapp),Pasos,192376,0.011340098864516424
348,37,Compartir(Vía Whatsapp),Pasos,222323,0.013105401920488445
349,38,Compartir(Vía Whatsapp),Pasos,49894,0.002941130352778842
